x,numerical,exact,absolute_error
0.0,-0.9398511150065619,-0.9510565162951536,0.01120540128859171
0.005,-0.92979444922194,-0.9408807689542256,0.011086319732285577
0.01,-0.9188201885713801,-0.9297764858882512,0.010956297316871089
0.015,-0.9069391633252061,-0.9177546256839815,0.010815462358775396
0.02,-0.8941630986209221,-0.9048270524660199,0.010663953845097773
0.025,-0.8805046028919186,-0.891006524188368,0.010501921296449446
0.03,-0.8659771554244695,-0.8763066800438638,0.010329524619394292
0.035,-0.8505950930553056,-0.8607420270039439,0.010146933948638304
0.04,-0.8343735960228861,-0.8443279255020155,0.009954329479129442
0.045,-0.817328672986337,-0.8270805742745618,0.009751901288224785
0.05,-0.7994771452268371,-0.8090169943749476,0.009539849148110457
0.055,-0.7808366300470437,-0.7901550123756906,0.009318382328646901
0.06,-0.7614255233849427,-0.7705132427757896,0.009087719390846849
0.065,-0.7412629816592783,-0.7501110696304595,0.008848087971181195
0.07,-0.7203689028644805,-0.7289686274214116,0.008599724556931032
0.075,-0.6987639069337471,-0.7071067811865477,0.008342874252800558
0.08,-0.6764693153896589,-0.684547105928689,0.008077790539030016
0.085,-0.6535071303024111,-0.6613118653236523,0.007804735021241127
0.09,-0.629900012576427,-0.6374239897486896,0.007523977172262608
0.095,-0.6056712595867801,-0.6129070536529765,0.007235794066196344
0.1,-0.5808447821874985,-0.5877852522924732,0.006940470104974783
0.105,-0.5554450811144381,-0.5620833778521309,0.006638296737692784
0.11,-0.5294972228060151,-0.5358267949789963,0.006329572172981246
0.115,-0.503026814665657,-0.5090414157503712,0.006014601084714188
0.12,-0.4760599797903872,-0.4817536741017161,0.0056936943113288785
0.125,-0.4486233311904822,-0.45399049973954697,0.005367168549064771
0.13,-0.42074394552564337,-0.425779291565073,0.005035346039429622
0.135,-0.39244933638360285,-0.3971478906347803,0.004698554251177434
0.14,-0.36376742712753435,-0.36812455268467864,0.004357125557144292
0.145,-0.3347265233390646,-0.33873792024529226,0.004011396906227649
0.15,-0.30535528488408215,-0.3090169943749476,0.0036617094908654724
0.155,-0.27568269762890946,-0.2789911060392296,0.0033084084103201516
0.16,-0.24573804483475245,-0.24868988716485535,0.0029518423301028995
0.165,-0.21555087825865724,-0.2181432413965433,0.002592363137886078
0.17,-0.18515098898949361,-0.18738131458572468,0.0022303255962310697
0.17500000000000002,-0.15456837804774712,-0.15643446504023112,0.0018660869924840007
