x,numerical,exact,absolute_error
0.0,0.0,0.0,0.0
0.005,0.011106817847012875,0.011106750585437253,6.72615756217021e-08
0.01,0.02221089525291675,0.022210760746361424,1.345065553277902e-07
0.015,0.03330949245276562,0.03330929073441818,2.0171834744231454e-07
0.02,0.04439987103377238,0.044399602153403835,2.68880368546609e-07
0.025,0.0554792946109712,0.05547895863492364,3.3597604755936095e-07
0.03,0.06654502950237931,0.06654462651354975,4.029888295564721e-07
0.035,0.07759434540349264,0.0775938755013123,4.699021803333814e-07
0.04,0.08862451606094657,0.08862397936135695,5.366995896177729e-07
0.045,0.09963281994517909,0.09963221658060326,6.033645758296569e-07
0.05,0.11061654092192802,0.11061587104123716,6.698806908622679e-07
0.055,0.121572968922396,0.12157223269087243,7.362315235653893e-07
0.06,0.1324994006119174,0.1324985982112156,8.024007017992663e-07
0.065,0.14339314005696874,0.14339227168506927,8.683718994706435e-07
0.07,0.15425149939034855,0.15425056526150924,9.341288393083236e-07
0.075,0.16507179947436892,0.16507079981907166,9.99655297262425e-07
0.08,0.1758513705618909,0.1758503056267862,1.0649351047109512e-06
0.085,0.18658755295504764,0.18658642300289188,1.129952155759506e-06
0.09,0.19727769766148248,0.19727650297107419,1.1946904082960064e-06
0.095,0.2079191670479489,0.20791790791406004,1.2591338888756631e-06
0.1,0.21850933549110707,0.21850801222441052,1.3232666965512507e-06
0.105,0.22904559002535807,0.2290442029523502,1.3870730078691107e-06
0.11,0.23952533098755335,0.23952388045047346,1.4505370798945094e-06
0.115,0.24994597265842194,0.24994445901516826,1.513643253681085e-06
0.12,0.2603049439005596,0.26030336752460026,1.5763759593223625e-06
0.125,0.2705996887928158,0.2705980500730985,1.6387197173117762e-06
0.13,0.28082766726093233,0.28082596660178677,1.7006591455648312e-06
0.135,0.29098635570426656,0.29098459352530515,1.7621789614175043e-06
0.14,0.3010732476184529,0.3010714243544671,1.8232639857895805e-06
0.145,0.3110858542138453,0.3110839703146979,1.8838991474035005e-06
0.15,0.32102170502958827,0.32101976096010304,1.9440694852268514e-06
0.155,0.33087834854316567,0.33087634478301314,2.0037601525246806e-06
0.16,0.34065335277527964,0.34065128981885695,2.062956422688167e-06
0.165,0.35034430588990195,0.35034218424621266,2.1216436892901314e-06
0.17,0.35994881678935964,0.3599466369818882,2.179807471414108e-06
0.17500000000000002,0.3694645157043045,0.36946227827088557,2.2374334189279033e-06
0.18,0.37888905477841517,0.37888676027110246,2.2945073127056403e-06
0.185,0.3882201086476983,0.3882177576326267,2.3510150715666533e-06
0.19,0.3974553750142344,0.39745296807148206,2.4069427523309983e-06
0.195,0.40659257521423897,0.4065901129376822,2.462276556758347e-06
0.2,0.41562945478028424,0.41562693777745346,2.5170028307708314e-06
0.20500000000000002,0.4245637839975599,0.42456121288948745,2.5711080724466484e-06
0.21,0.4333933584540183,0.43339073387508675,2.6245789315204604e-06
0.215,0.44211599958428166,0.44211332218206717,2.677402214490421e-06
0.22,0.45072955520717173,0.45072682564228284,2.729564888892533e-06
0.225,0.45923190005672526,0.4592291190026416,2.7810540836892272e-06
0.23,0.4676209363065744,0.4676181044494791,2.8318570953200783e-06
0.23500000000000001,0.4758945940875522,0.47589171212616366,2.881961388534471e-06
0.24,0.484050831998403,0.4840479006438016,2.9313546013876035e-06
0.245,0.4920876376094656,0.49208465758492,2.9800245456290675e-06
0.25,0.5000030279592127,0.5,3.0279592126980504e-06
0.255,0.5077950500435178,0.5077919748967407,3.0751467771095164e-06
0.26,0.5154617812975244,0.51545865972193,3.1215755944558055e-06
0.265,0.5230013300700165,0.5229981628358064,3.167234210121883e-06
0.27,0.5304118360901514,0.5304086239787925,3.212111358896763e-06
0.275,0.5376914709264533,0.5376882147304866,3.256195966749864e-06
0.28,0.5448384384379534,0.5448351389607973,3.29947715616008e-06
0.28500000000000003,0.5518509752173618,0.5518476332731125,3.3419442493354268e-06
0.29,0.5587273510261584,0.558723967439391,3.3835867674358866e-06
0.295,0.5654658692215074,0.5654624448270701,3.424394437345768e-06
0.3,0.572064867174872,0.5720614028176843,3.4643571877879253e-06
0.305,0.578522716682252,0.5785192132170918,3.5034651602039446e-06
0.31,0.5848378243659119,0.5848342826572067,3.5417087052014296e-06
0.315,0.5910086320675261,0.5910050529891391,3.579078386994894e-06
0.32,0.5970336172326295,0.597030001667645,3.6155649845159843e-06
0.325,0.602911293286287,0.602907642126791,3.651159495965395e-06
0.33,0.6086402099998812,0.608636524146743,3.6858531382577553e-06
0.335,0.6142189538489369,0.6142152342115855,3.7196373513515013e-06
0.34,0.6196461483618857,0.6196423958580862,3.7525037994701194e-06
0.34500000000000003,0.6249204544596911,0.6249166700153171,3.784444373988727e-06
0.35000000000000003,0.630040570786244,0.6300367553350504,3.815451193545094e-06
0.355,0.6350052340294537,0.6350013885128474,3.845516606371113e-06
0.36,0.6398132192329553,0.6398093445997585,3.874633196843114e-06
0.365,0.6444633400983412,0.6444594373045622,3.902793778931546e-06
0.37,0.6489544492778702,0.6489505192864647,3.929991405415834e-06
0.375,0.653285438657553,0.6532814824381883,3.956219364664726e-06
0.38,0.6574552396305676,0.6574512581593809,3.9814711867425245e-06
0.385,0.661462823360916,0.661458817620277,4.0057406389681915e-06
0.39,0.6653072010372822,0.6653031720155461,4.029021736129401e-06
0.395,0.6689874241169976,0.6689833728082654,4.0513087322668895e-06
0.4,0.6725025845600858,0.6724985119639574,4.0725961284460155e-06
0.405,0.6758518150533058,0.6758477221746334,4.092878672423694e-06
0.41000000000000003,0.679034289224149,0.6790301770727895,4.1121513595365755e-06
0.41500000000000004,0.6820492218447336,0.6820450914352995,4.130409434144333e-06
0.42,0.6848958690255506,0.6848917213771575,4.147648393071357e-06
0.425,0.6875735283990029,0.6875693645350206,4.163863982276084e-06
0.43,0.6900815392927062,0.6900773602405058,4.17905220040371e-06
0.435,0.6924192828924992,0.692415089683201,4.193209298231082e-06
0.44,0.6945861823951325,0.6945819760633463,4.206331786216211e-06
0.445,0.6965817031505741,0.696577484734151,4.218416423062976e-06
0.45,0.6984053527939397,0.6984011233337104,4.229460229265847e-06
0.455,0.700056681366968,0.7000524419064873,4.239460480670587e-06
0.46,0.7015352814290425,0.7015310330143335,4.248414709029369e-06
0.465,0.702840788157721,0.7028365318370176,4.256320703444061e-06
0.47000000000000003,0.7039728794387534,0.7039686162622395,4.263176513918943e-06
0.47500000000000003,0.7049312759455569,0.7049270069651074,4.2689804495843475e-06
0.48,0.7057157412081339,0.7057114674770557,4.273731078141552e-06
0.485,0.706326081671419,0.7063218042441916,4.2774272274170855e-06
0.49,0.7067621467430364,0.7067578666750501,4.280067986250913e-06
